Transcript stable ID	Gene stable ID	Gene type	Gene name
ENSRNOT00000009207.5	ENSRNOG00000006898	protein_coding	Mrps16
ENSRNOT00000088546.1	ENSRNOG00000055879	lincRNA	LOC108351450
ENSRNOT00000005919.5	ENSRNOG00000004459	protein_coding	Sdr9c7
ENSRNOT00000053460.2	ENSRNOG00000047325	rRNA	5S_rRNA
ENSRNOT00000040386.3	ENSRNOG00000049299	protein_coding	LOC100912707
ENSRNOT00000026702.6	ENSRNOG00000019706	protein_coding	Phox2a
ENSRNOT00000077873.1	ENSRNOG00000057762	snoRNA	SNORD14
ENSRNOT00000088427.1	ENSRNOG00000051935	lincRNA	AABR07036442.1
ENSRNOT00000085942.1	ENSRNOG00000056700	snRNA	U6
ENSRNOT00000091352.1	ENSRNOG00000052947	lincRNA	AABR07057219.1
ENSRNOT00000075270.1	ENSRNOG00000046794	protein_coding	Khdrbs1
ENSRNOT00000086304.1	ENSRNOG00000060176	snRNA	U4
ENSRNOT00000000167.5	ENSRNOG00000027731	protein_coding	Ubxn10
ENSRNOT00000081996.1	ENSRNOG00000051653	protein_coding	AABR07065772.2
ENSRNOT00000073285.1	ENSRNOG00000045815	protein_coding	LOC103693533
ENSRNOT00000090955.1	ENSRNOG00000053602	lincRNA	AC112328.1
ENSRNOT00000006006.6	ENSRNOG00000004419	protein_coding	Trappc2b
ENSRNOT00000073930.1	ENSRNOG00000047860	protein_coding	Plin5
ENSRNOT00000091410.1	ENSRNOG00000056031	snRNA	U5
ENSRNOT00000078958.1	ENSRNOG00000058377	protein_coding	AABR07064231.1
ENSRNOT00000071263.1	ENSRNOG00000048557	miRNA	AABR07011708.1
ENSRNOT00000080428.1	ENSRNOG00000056042	snoRNA	SNORA31
ENSRNOT00000050249.2	ENSRNOG00000010284	protein_coding	St3gal5
ENSRNOT00000078793.1	ENSRNOG00000010284	protein_coding	St3gal5
ENSRNOT00000053735.1	ENSRNOG00000035612	miRNA	Mir342
ENSRNOT00000081310.1	ENSRNOG00000051906	protein_coding	AABR07035561.2
ENSRNOT00000027695.6	ENSRNOG00000020435	protein_coding	Terf2
ENSRNOT00000081577.1	ENSRNOG00000053001	miRNA	AABR07002644.1
ENSRNOT00000020411.7	ENSRNOG00000014758	protein_coding	Lgi1
ENSRNOT00000027226.5	ENSRNOG00000020098	protein_coding	Lypd4
ENSRNOT00000085603.1	ENSRNOG00000052850	snoRNA	SNORA70
ENSRNOT00000087754.1	ENSRNOG00000056526	pseudogene	AABR07054262.1
ENSRNOT00000092160.1	ENSRNOG00000014311	protein_coding	Slc7a8
ENSRNOT00000019618.4	ENSRNOG00000014311	protein_coding	Slc7a8
ENSRNOT00000074266.2	ENSRNOG00000058460	protein_coding	AABR07051551.1
ENSRNOT00000091748.1	ENSRNOG00000053020	snoRNA	SNORA17
ENSRNOT00000080412.1	ENSRNOG00000058134	snRNA	U6
ENSRNOT00000031026.4	ENSRNOG00000024410	protein_coding	Blvrb
ENSRNOT00000057177.3	ENSRNOG00000018390	protein_coding	Pld3
ENSRNOT00000086579.1	ENSRNOG00000057404	protein_coding	Slc47a1
ENSRNOT00000069124.1	ENSRNOG00000043857	miRNA	AABR07015814.1
ENSRNOT00000079424.1	ENSRNOG00000052022	protein_coding	Pnma3
ENSRNOT00000053718.1	ENSRNOG00000035595	miRNA	Mir429
ENSRNOT00000083348.1	ENSRNOG00000056680	snRNA	U6
ENSRNOT00000016984.5	ENSRNOG00000012659	protein_coding	Vamp5
ENSRNOT00000091679.1	ENSRNOG00000056560	lincRNA	LOC102555669
ENSRNOT00000073802.1	ENSRNOG00000046519	miRNA	AABR07072748.1
ENSRNOT00000088703.1	ENSRNOG00000054686	lincRNA	AABR07015800.2
ENSRNOT00000089416.1	ENSRNOG00000054756	lincRNA	AABR07001592.1
ENSRNOT00000046126.3	ENSRNOG00000019456	protein_coding	Kars
ENSRNOT00000090617.1	ENSRNOG00000055799	miRNA	AC129753.2
ENSRNOT00000004815.5	ENSRNOG00000003601	protein_coding	RGD1564463
ENSRNOT00000080877.1	ENSRNOG00000058787	lincRNA	AABR07017649.2
ENSRNOT00000067479.1	ENSRNOG00000028254	protein_coding	Tmem141
ENSRNOT00000078700.1	ENSRNOG00000060916	lincRNA	AC126134.1
ENSRNOT00000001580.6	ENSRNOG00000001193	protein_coding	Hsf2bp
ENSRNOT00000079207.1	ENSRNOG00000001193	protein_coding	Hsf2bp
ENSRNOT00000077634.1	ENSRNOG00000055112	snRNA	U6
ENSRNOT00000077093.1	ENSRNOG00000054325	lincRNA	AABR07004397.2
ENSRNOT00000079678.1	ENSRNOG00000011573	protein_coding	Csad
ENSRNOT00000016205.6	ENSRNOG00000011573	protein_coding	Csad
ENSRNOT00000090045.1	ENSRNOG00000052089	lincRNA	AC132720.2
ENSRNOT00000071059.1	ENSRNOG00000048598	miRNA	AABR07037925.1
ENSRNOT00000058817.5	ENSRNOG00000026745	protein_coding	Acsl6
ENSRNOT00000030760.4	ENSRNOG00000026745	protein_coding	Acsl6
ENSRNOT00000086383.1	ENSRNOG00000059678	lincRNA	AABR07024799.1
ENSRNOT00000042108.5	ENSRNOG00000004662	protein_coding	RGD1560687
ENSRNOT00000079894.1	ENSRNOG00000059652	misc_RNA	Evf-2_5p
ENSRNOT00000023226.6	ENSRNOG00000017237	protein_coding	Lama1
ENSRNOT00000077833.1	ENSRNOG00000052551	lincRNA	AABR07008256.1
ENSRNOT00000084337.1	ENSRNOG00000012957	protein_coding	Sh3glb1
ENSRNOT00000017770.5	ENSRNOG00000012957	protein_coding	Sh3glb1
ENSRNOT00000064386.2	ENSRNOG00000012764	protein_coding	Agap3
ENSRNOT00000084777.1	ENSRNOG00000012764	protein_coding	Agap3
ENSRNOT00000087120.1	ENSRNOG00000012764	protein_coding	Agap3
ENSRNOT00000010720.3	ENSRNOG00000007834	protein_coding	Cand1
ENSRNOT00000074274.2	ENSRNOG00000049181	protein_coding	Sh2b1
ENSRNOT00000071241.3	ENSRNOG00000049181	protein_coding	Sh2b1
ENSRNOT00000077867.1	ENSRNOG00000051722	lincRNA	AABR07065772.3
ENSRNOT00000070161.2	ENSRNOG00000044894	miRNA	Scarna15
ENSRNOT00000077593.1	ENSRNOG00000055518	protein_coding	AABR07024303.1
ENSRNOT00000080023.1	ENSRNOG00000061916	lincRNA	AABR07041724.2
ENSRNOT00000036769.6	ENSRNOG00000026579	protein_coding	RGD1563323
ENSRNOT00000086106.1	ENSRNOG00000056888	snoRNA	SNORA20
ENSRNOT00000017824.5	ENSRNOG00000013334	protein_coding	Clca5
ENSRNOT00000085670.1	ENSRNOG00000013334	protein_coding	Clca5
ENSRNOT00000083535.1	ENSRNOG00000013334	protein_coding	Clca5
ENSRNOT00000089287.1	ENSRNOG00000053916	lincRNA	AABR07071779.1
ENSRNOT00000019283.6	ENSRNOG00000014248	protein_coding	Erbb4
ENSRNOT00000031683.4	ENSRNOG00000023195	protein_coding	Defb29
ENSRNOT00000073029.1	ENSRNOG00000050653	protein_coding	AABR07072562.1
ENSRNOT00000085964.1	ENSRNOG00000056673	snRNA	U6
ENSRNOT00000014925.5	ENSRNOG00000011145	protein_coding	Crhr2
ENSRNOT00000033672.3	ENSRNOG00000011145	protein_coding	Crhr2
ENSRNOT00000089492.1	ENSRNOG00000011145	protein_coding	Crhr2
ENSRNOT00000089637.1	ENSRNOG00000052954	protein_coding	Ccdc173
ENSRNOT00000053579.2	ENSRNOG00000035456	miRNA	Mir3555
ENSRNOT00000032995.6	ENSRNOG00000025630	protein_coding	RGD1563300
ENSRNOT00000031481.3	ENSRNOG00000043289	protein_coding	LOC100125368
ENSRNOT00000053766.1	ENSRNOG00000035643	miRNA	Mir138-2
ENSRNOT00000082079.1	ENSRNOG00000030247	protein_coding	Eif4ebp3
ENSRNOT00000024825.5	ENSRNOG00000030247	protein_coding	Eif4ebp3
ENSRNOT00000032316.4	ENSRNOG00000030247	protein_coding	Eif4ebp3
ENSRNOT00000013342.6	ENSRNOG00000010058	protein_coding	Spry2
ENSRNOT00000063073.1	ENSRNOG00000041320	miRNA	Mir876
ENSRNOT00000034404.2	ENSRNOG00000025340	pseudogene	AABR07055682.1
ENSRNOT00000021704.4	ENSRNOG00000016222	protein_coding	Ppp1r3g
ENSRNOT00000085668.1	ENSRNOG00000055009	snRNA	U6
ENSRNOT00000018981.4	ENSRNOG00000014181	protein_coding	Vom1r61
ENSRNOT00000077805.1	ENSRNOG00000053816	protein_coding	Olr128
ENSRNOT00000006412.6	ENSRNOG00000004784	protein_coding	Ndufaf5
ENSRNOT00000078749.1	ENSRNOG00000053726	snoRNA	SNORD116
ENSRNOT00000078249.1	ENSRNOG00000005993	protein_coding	Oxsm
ENSRNOT00000008035.5	ENSRNOG00000005993	protein_coding	Oxsm
ENSRNOT00000004643.3	ENSRNOG00000003498	protein_coding	Olr1584
ENSRNOT00000074570.1	ENSRNOG00000050386	protein_coding	Pfn4
ENSRNOT00000062587.3	ENSRNOG00000040834	rRNA	5S_rRNA
ENSRNOT00000071039.1	ENSRNOG00000050719	protein_coding	AABR07009357.1
ENSRNOT00000078634.1	ENSRNOG00000052170	miRNA	AC105645.2
ENSRNOT00000022254.5	ENSRNOG00000016337	protein_coding	Slc22a1
ENSRNOT00000022068.5	ENSRNOG00000016337	protein_coding	Slc22a1
ENSRNOT00000025362.3	ENSRNOG00000018770	protein_coding	Pmaip1
ENSRNOT00000047450.3	ENSRNOG00000020266	protein_coding	Eef2
ENSRNOT00000022380.6	ENSRNOG00000016703	protein_coding	Gtf2a1l
ENSRNOT00000067646.2	ENSRNOG00000043037	protein_coding	Zfp770
ENSRNOT00000083318.1	ENSRNOG00000051492	snoRNA	SNORA74
ENSRNOT00000006506.5	ENSRNOG00000004906	processed_pseudogene	AABR07058116.1
ENSRNOT00000075572.2	ENSRNOG00000046787	pseudogene	AC244815.1
ENSRNOT00000078900.1	ENSRNOG00000055561	snoRNA	SNORD58
ENSRNOT00000005786.6	ENSRNOG00000004252	protein_coding	Eif3h
ENSRNOT00000087826.1	ENSRNOG00000027855	protein_coding	Fcar
ENSRNOT00000029621.6	ENSRNOG00000027855	protein_coding	Fcar
ENSRNOT00000037684.6	ENSRNOG00000012651	protein_coding	Cwc22
ENSRNOT00000037072.4	ENSRNOG00000021316	protein_coding	Tmem98
ENSRNOT00000082950.1	ENSRNOG00000060443	lincRNA	AABR07049350.1
ENSRNOT00000091442.1	ENSRNOG00000022402	protein_coding	Luzp1
ENSRNOT00000016093.3	ENSRNOG00000022402	protein_coding	Luzp1
ENSRNOT00000009727.2	ENSRNOG00000007301	protein_coding	Gdf9
ENSRNOT00000089213.1	ENSRNOG00000053323	lincRNA	AABR07001018.1
ENSRNOT00000089770.1	ENSRNOG00000056322	lincRNA	AABR07071969.1
ENSRNOT00000075429.2	ENSRNOG00000050729	protein_coding	LOC102555217
ENSRNOT00000088110.1	ENSRNOG00000019667	protein_coding	Ppfibp2
ENSRNOT00000047831.2	ENSRNOG00000019667	protein_coding	Ppfibp2
ENSRNOT00000071201.2	ENSRNOG00000021704	protein_coding	Atp8b5p
ENSRNOT00000088653.1	ENSRNOG00000055102	protein_coding	AABR07038795.1
ENSRNOT00000084035.1	ENSRNOG00000060294	pseudogene	AC106191.1
ENSRNOT00000088357.1	ENSRNOG00000013383	protein_coding	Tmub1
ENSRNOT00000061992.2	ENSRNOG00000013383	protein_coding	Tmub1
ENSRNOT00000092300.1	ENSRNOG00000061982	lincRNA	AABR07024473.2
ENSRNOT00000092451.1	ENSRNOG00000061982	lincRNA	AABR07024473.2
ENSRNOT00000092308.1	ENSRNOG00000061982	lincRNA	AABR07024473.2
ENSRNOT00000066249.1	ENSRNOG00000043492	protein_coding	Olr556
ENSRNOT00000082303.1	ENSRNOG00000015131	protein_coding	Ube2c
ENSRNOT00000020323.3	ENSRNOG00000015131	protein_coding	Ube2c
ENSRNOT00000050607.3	ENSRNOG00000030070	protein_coding	Olr8
ENSRNOT00000083739.1	ENSRNOG00000057583	lincRNA	AABR07036435.1
ENSRNOT00000022432.5	ENSRNOG00000016509	protein_coding	Usp10
ENSRNOT00000001679.7	ENSRNOG00000001249	protein_coding	Col6a1
ENSRNOT00000072951.2	ENSRNOG00000001249	protein_coding	Col6a1
ENSRNOT00000022522.5	ENSRNOG00000016776	protein_coding	Extl1
ENSRNOT00000060486.2	ENSRNOG00000039470	pseudogene	AC131360.1
ENSRNOT00000078455.1	ENSRNOG00000052016	lincRNA	AABR07010868.1
ENSRNOT00000026155.7	ENSRNOG00000019247	protein_coding	Plekhj1
ENSRNOT00000083724.1	ENSRNOG00000057687	lincRNA	AC141334.3
ENSRNOT00000084718.1	ENSRNOG00000042201	protein_coding	Efcab2
ENSRNOT00000029723.4	ENSRNOG00000042201	protein_coding	Efcab2
ENSRNOT00000008940.6	ENSRNOG00000006327	protein_coding	Rcc2
ENSRNOT00000075180.2	ENSRNOG00000047368	protein_coding	Acer1
ENSRNOT00000071063.2	ENSRNOG00000049480	protein_coding	LOC686660
ENSRNOT00000014879.6	ENSRNOG00000011136	protein_coding	Osr2
ENSRNOT00000073223.1	ENSRNOG00000045833	protein_coding	AABR07036187.1
ENSRNOT00000031161.5	ENSRNOG00000024961	protein_coding	Usp35
ENSRNOT00000088740.1	ENSRNOG00000060235	lincRNA	AABR07044837.2
ENSRNOT00000009911.6	ENSRNOG00000050713	protein_coding	LOC108348050
ENSRNOT00000021162.6	ENSRNOG00000015655	protein_coding	Ptgfrn
ENSRNOT00000047947.2	ENSRNOG00000021241	protein_coding	Gfra4
ENSRNOT00000081206.1	ENSRNOG00000054274	protein_coding	Cacnb3
ENSRNOT00000083917.1	ENSRNOG00000055910	pseudogene	AABR07059067.1
ENSRNOT00000091109.1	ENSRNOG00000052603	processed_pseudogene	AABR07054608.1
ENSRNOT00000029055.6	ENSRNOG00000022155	protein_coding	RGD1560289
ENSRNOT00000044932.2	ENSRNOG00000047335	pseudogene	AABR07055805.1
ENSRNOT00000083650.1	ENSRNOG00000060459	protein_coding	AC142154.2
ENSRNOT00000008613.7	ENSRNOG00000006367	protein_coding	Slc5a8
ENSRNOT00000078032.1	ENSRNOG00000002697	protein_coding	Mtmr1
ENSRNOT00000003638.6	ENSRNOG00000002697	protein_coding	Mtmr1
ENSRNOT00000032972.4	ENSRNOG00000017259	protein_coding	Tacc3
ENSRNOT00000008676.2	ENSRNOG00000006637	protein_coding	Olr720
ENSRNOT00000071543.2	ENSRNOG00000048843	protein_coding	Tsfm
ENSRNOT00000045743.1	ENSRNOG00000048229	protein_coding	Olr781
ENSRNOT00000084397.1	ENSRNOG00000051465	pseudogene	AABR07005565.1
ENSRNOT00000077451.1	ENSRNOG00000058245	protein_coding	AABR07029863.3
ENSRNOT00000023170.3	ENSRNOG00000017252	protein_coding	Olr157
ENSRNOT00000034589.5	ENSRNOG00000039357	protein_coding	Fam129c
ENSRNOT00000081194.1	ENSRNOG00000060519	protein_coding	AC242454.1
ENSRNOT00000013858.7	ENSRNOG00000010119	protein_coding	Zmat3
ENSRNOT00000013516.5	ENSRNOG00000009867	protein_coding	Tgfb3
ENSRNOT00000090051.1	ENSRNOG00000015320	protein_coding	Atp5g2
ENSRNOT00000020676.6	ENSRNOG00000015320	protein_coding	Atp5g2
ENSRNOT00000068108.2	ENSRNOG00000030126	protein_coding	Clk3
ENSRNOT00000080071.1	ENSRNOG00000030126	protein_coding	Clk3
ENSRNOT00000039689.5	ENSRNOG00000026690	protein_coding	Kin
ENSRNOT00000064868.2	ENSRNOG00000005410	protein_coding	Cdca7l
ENSRNOT00000088969.1	ENSRNOG00000005410	protein_coding	Cdca7l
ENSRNOT00000085766.1	ENSRNOG00000052140	protein_coding	Ogg1
ENSRNOT00000037067.6	ENSRNOG00000024557	protein_coding	Cep112
ENSRNOT00000004637.7	ENSRNOG00000042990	protein_coding	AABR07021804.1
ENSRNOT00000002546.3	ENSRNOG00000001864	protein_coding	Tmem191c
ENSRNOT00000072858.1	ENSRNOG00000045981	protein_coding	Olr1262
ENSRNOT00000000976.2	ENSRNOG00000000749	protein_coding	Olr1693
ENSRNOT00000059419.4	ENSRNOG00000017132	protein_coding	Snx30
ENSRNOT00000087254.1	ENSRNOG00000017132	protein_coding	Snx30
ENSRNOT00000016503.4	ENSRNOG00000012049	protein_coding	Sox7
ENSRNOT00000012394.6	ENSRNOG00000009358	protein_coding	Osgin2
ENSRNOT00000025408.6	ENSRNOG00000018780	protein_coding	Sh3rf2
ENSRNOT00000018535.5	ENSRNOG00000013481	protein_coding	Cdh11
ENSRNOT00000012147.4	ENSRNOG00000009058	protein_coding	Spata21
ENSRNOT00000072431.2	ENSRNOG00000045967	processed_pseudogene	AABR07064061.1
ENSRNOT00000027029.4	ENSRNOG00000019949	protein_coding	Mrps12
ENSRNOT00000080104.1	ENSRNOG00000018416	protein_coding	Ttbk1
ENSRNOT00000024824.7	ENSRNOG00000018416	protein_coding	Ttbk1
ENSRNOT00000016804.6	ENSRNOG00000012524	protein_coding	Zfp91
ENSRNOT00000045741.2	ENSRNOG00000032529	pseudogene	Olr920
ENSRNOT00000031650.4	ENSRNOG00000027645	protein_coding	Syndig1l
ENSRNOT00000078252.1	ENSRNOG00000058434	protein_coding	Cfap99
ENSRNOT00000008864.2	ENSRNOG00000006771	protein_coding	Olr729
ENSRNOT00000037181.5	ENSRNOG00000029191	protein_coding	LOC685067
ENSRNOT00000077865.1	ENSRNOG00000058782	protein_coding	Olr458
ENSRNOT00000036585.4	ENSRNOG00000024335	protein_coding	Fastkd1
ENSRNOT00000041717.4	ENSRNOG00000005257	protein_coding	Prkaca
ENSRNOT00000059255.5	ENSRNOG00000003147	protein_coding	Sqstm1
ENSRNOT00000004308.6	ENSRNOG00000003147	protein_coding	Sqstm1
ENSRNOT00000034723.6	ENSRNOG00000011511	protein_coding	Stk24
ENSRNOT00000001799.5	ENSRNOG00000001331	protein_coding	Rnf34
ENSRNOT00000084348.1	ENSRNOG00000052456	protein_coding	Lrrc74a
ENSRNOT00000082121.1	ENSRNOG00000019302	protein_coding	Stx4
ENSRNOT00000026224.2	ENSRNOG00000019302	protein_coding	Stx4
ENSRNOT00000043572.3	ENSRNOG00000008047	protein_coding	Khk
ENSRNOT00000071452.1	ENSRNOG00000046136	protein_coding	Olr1251
ENSRNOT00000026049.3	ENSRNOG00000019195	protein_coding	Polh
ENSRNOT00000016626.5	ENSRNOG00000012447	protein_coding	Setd6
ENSRNOT00000091013.1	ENSRNOG00000058180	protein_coding	LOC102554748
ENSRNOT00000019107.7	ENSRNOG00000014201	protein_coding	Manf
ENSRNOT00000073844.1	ENSRNOG00000050484	protein_coding	LOC103692042
ENSRNOT00000061132.4	ENSRNOG00000020416	protein_coding	Zfr2
ENSRNOT00000061539.1	ENSRNOG00000040026	protein_coding	Rhox10
ENSRNOT00000084867.1	ENSRNOG00000030387	protein_coding	Kng1
ENSRNOT00000058479.4	ENSRNOG00000030387	protein_coding	Kng1
ENSRNOT00000080949.1	ENSRNOG00000030387	protein_coding	Kng1
ENSRNOT00000078131.1	ENSRNOG00000030387	protein_coding	Kng1
ENSRNOT00000080562.1	ENSRNOG00000030387	protein_coding	Kng1
ENSRNOT00000015469.8	ENSRNOG00000011530	protein_coding	Fam188b
ENSRNOT00000061761.4	ENSRNOG00000023837	protein_coding	Mtx3
ENSRNOT00000072087.2	ENSRNOG00000046469	protein_coding	Zfp300
ENSRNOT00000030199.4	ENSRNOG00000026112	protein_coding	Tmem202
ENSRNOT00000003794.3	ENSRNOG00000002829	protein_coding	Ppbp
ENSRNOT00000001415.6	ENSRNOG00000001069	protein_coding	Elavl1
ENSRNOT00000090911.1	ENSRNOG00000057563	pseudogene	AABR07002997.2
ENSRNOT00000031789.5	ENSRNOG00000028194	protein_coding	Serpinb13
ENSRNOT00000007000.4	ENSRNOG00000005279	protein_coding	Ndufaf7
ENSRNOT00000015460.7	ENSRNOG00000011553	protein_coding	Actl6a
ENSRNOT00000089008.1	ENSRNOG00000059543	snRNA	U6
ENSRNOT00000085875.1	ENSRNOG00000055956	protein_coding	AABR07015078.1
ENSRNOT00000083464.1	ENSRNOG00000009437	protein_coding	LOC100912481
ENSRNOT00000012634.6	ENSRNOG00000009437	protein_coding	LOC100912481
ENSRNOT00000013439.4	ENSRNOG00000009870	protein_coding	Tmem88
ENSRNOT00000085691.1	ENSRNOG00000051959	misc_RNA	7SK
ENSRNOT00000061633.3	ENSRNOG00000047818	protein_coding	LOC108348039
ENSRNOT00000016884.6	ENSRNOG00000012652	protein_coding	RGD1565693
ENSRNOT00000015511.8	ENSRNOG00000011611	protein_coding	Mapk1ip1l
ENSRNOT00000063807.1	ENSRNOG00000011611	protein_coding	Mapk1ip1l
ENSRNOT00000053751.2	ENSRNOG00000035628	miRNA	Mir3597-2
ENSRNOT00000011838.6	ENSRNOG00000008812	protein_coding	Tmem214
ENSRNOT00000032943.6	ENSRNOG00000023989	protein_coding	Actr5
ENSRNOT00000079625.1	ENSRNOG00000059442	protein_coding	Pde12
ENSRNOT00000083573.1	ENSRNOG00000059442	protein_coding	Pde12
ENSRNOT00000083599.1	ENSRNOG00000056990	snoRNA	SNORA70
ENSRNOT00000012322.3	ENSRNOG00000009299	protein_coding	Adra2c
ENSRNOT00000073492.2	ENSRNOG00000049497	protein_coding	Eif6
ENSRNOT00000078688.1	ENSRNOG00000049497	protein_coding	Eif6
ENSRNOT00000053742.1	ENSRNOG00000035619	miRNA	Mir296
ENSRNOT00000088711.1	ENSRNOG00000059872	snoRNA	Snora58
ENSRNOT00000077839.1	ENSRNOG00000009548	protein_coding	Fpgt
ENSRNOT00000088561.1	ENSRNOG00000009548	protein_coding	Fpgt
ENSRNOT00000052396.3	ENSRNOG00000009548	protein_coding	Fpgt
ENSRNOT00000043533.4	ENSRNOG00000029993	protein_coding	Kynu
ENSRNOT00000083018.1	ENSRNOG00000057516	snRNA	U6
ENSRNOT00000080422.1	ENSRNOG00000051483	protein_coding	LOC103689961
ENSRNOT00000078917.1	ENSRNOG00000051483	protein_coding	LOC103689961
ENSRNOT00000074212.1	ENSRNOG00000010588	protein_coding	Tns2
ENSRNOT00000025576.3	ENSRNOG00000018822	protein_coding	Slc5a5
ENSRNOT00000090044.1	ENSRNOG00000056351	snRNA	U7
ENSRNOT00000025598.7	ENSRNOG00000018863	protein_coding	Abcc10
ENSRNOT00000008321.7	ENSRNOG00000005678	protein_coding	Lamb1
ENSRNOT00000088889.1	ENSRNOG00000059565	snoRNA	SNORA32
ENSRNOT00000089659.1	ENSRNOG00000061362	snoRNA	SNORA44
ENSRNOT00000014824.4	ENSRNOG00000010994	protein_coding	Has1
ENSRNOT00000025553.4	ENSRNOG00000018550	protein_coding	Ncbp3
ENSRNOT00000086797.1	ENSRNOG00000052117	snRNA	U1
ENSRNOT00000050760.3	ENSRNOG00000020369	protein_coding	Igf2
ENSRNOT00000080246.1	ENSRNOG00000020369	protein_coding	Igf2
ENSRNOT00000073850.3	ENSRNOG00000020369	protein_coding	Igf2
ENSRNOT00000089171.1	ENSRNOG00000020369	protein_coding	Igf2
ENSRNOT00000070883.1	ENSRNOG00000050286	protein_coding	RGD1561853
ENSRNOT00000086457.1	ENSRNOG00000061875	misc_RNA	7SK
ENSRNOT00000068093.3	ENSRNOG00000017838	protein_coding	Gmcl1
ENSRNOT00000081201.1	ENSRNOG00000017838	protein_coding	Gmcl1
ENSRNOT00000024414.5	ENSRNOG00000017838	protein_coding	Gmcl1
ENSRNOT00000078742.1	ENSRNOG00000057368	snoRNA	SNORA17
ENSRNOT00000047083.1	ENSRNOG00000030827	pseudogene	AC111632.1
ENSRNOT00000043641.5	ENSRNOG00000034026	protein_coding	Lclat1
ENSRNOT00000078581.1	ENSRNOG00000056935	misc_RNA	7SK
ENSRNOT00000004917.5	ENSRNOG00000003653	protein_coding	Fh
ENSRNOT00000071397.2	ENSRNOG00000048427	processed_pseudogene	AABR07024825.1
ENSRNOT00000088990.1	ENSRNOG00000057907	snoRNA	SNORA17
ENSRNOT00000069898.1	ENSRNOG00000044631	rRNA	5S_rRNA
ENSRNOT00000002680.5	ENSRNOG00000001957	protein_coding	ste2
ENSRNOT00000081289.1	ENSRNOG00000053058	lincRNA	AABR07014885.1
ENSRNOT00000042248.1	ENSRNOG00000029493	protein_coding	LOC103691563
ENSRNOT00000027721.6	ENSRNOG00000020452	protein_coding	Nsmce4a
ENSRNOT00000080488.1	ENSRNOG00000060106	lincRNA	AABR07016722.1
ENSRNOT00000002524.5	ENSRNOG00000001845	protein_coding	Top3b
ENSRNOT00000027073.6	ENSRNOG00000019974	protein_coding	Uba52
ENSRNOT00000012434.3	ENSRNOG00000009250	protein_coding	Pts
ENSRNOT00000079092.1	ENSRNOG00000053429	protein_coding	AABR07065589.1
ENSRNOT00000082478.1	ENSRNOG00000061047	lincRNA	AABR07017159.2
ENSRNOT00000053202.4	ENSRNOG00000035079	protein_coding	Gm12830
ENSRNOT00000073232.2	ENSRNOG00000050475	protein_coding	AABR07061556.1
ENSRNOT00000085396.1	ENSRNOG00000060009	lincRNA	AABR07005794.1
ENSRNOT00000079434.1	ENSRNOG00000060009	lincRNA	AABR07005794.1
ENSRNOT00000080454.1	ENSRNOG00000059909	lincRNA	AABR07006654.2
ENSRNOT00000084251.1	ENSRNOG00000053831	lincRNA	AABR07065049.2
ENSRNOT00000020900.5	ENSRNOG00000015568	protein_coding	Plpp5
ENSRNOT00000074404.2	ENSRNOG00000048682	protein_coding	Zwint
ENSRNOT00000039400.5	ENSRNOG00000024813	protein_coding	Mzt1
ENSRNOT00000004578.7	ENSRNOG00000003288	protein_coding	Cacng5
ENSRNOT00000086150.1	ENSRNOG00000053808	lincRNA	AABR07054352.3
ENSRNOT00000040254.3	ENSRNOG00000033602	protein_coding	Ifna16l1
ENSRNOT00000086716.1	ENSRNOG00000001143	protein_coding	Cit
ENSRNOT00000041281.5	ENSRNOG00000001143	protein_coding	Cit
ENSRNOT00000057036.2	ENSRNOG00000001143	protein_coding	Cit
ENSRNOT00000077381.1	ENSRNOG00000060527	lincRNA	AABR07035717.1
ENSRNOT00000090601.1	ENSRNOG00000056512	lincRNA	AABR07054609.1
ENSRNOT00000003926.6	ENSRNOG00000002928	protein_coding	Guk1
ENSRNOT00000086692.1	ENSRNOG00000054002	lincRNA	AABR07025152.1
ENSRNOT00000049044.5	ENSRNOG00000029366	protein_coding	Prrt2
ENSRNOT00000002111.5	ENSRNOG00000001547	protein_coding	Agps
ENSRNOT00000078485.1	ENSRNOG00000061619	lincRNA	LOC102553734
ENSRNOT00000019680.5	ENSRNOG00000014479	protein_coding	Cttnbp2nl
ENSRNOT00000072350.2	ENSRNOG00000048755	protein_coding	AABR07054897.1
ENSRNOT00000089822.1	ENSRNOG00000060210	lincRNA	AABR07057116.1
ENSRNOT00000028125.7	ENSRNOG00000020721	protein_coding	Nme6
ENSRNOT00000003340.7	ENSRNOG00000002459	protein_coding	Fbxo40
ENSRNOT00000084916.1	ENSRNOG00000057158	protein_coding	AABR07060694.1
ENSRNOT00000029312.5	ENSRNOG00000021410	protein_coding	Negr1
ENSRNOT00000089396.1	ENSRNOG00000021410	protein_coding	Negr1
ENSRNOT00000087251.1	ENSRNOG00000053760	pseudogene	AC126071.2
ENSRNOT00000006074.6	ENSRNOG00000004574	protein_coding	Ofd1
ENSRNOT00000083302.1	ENSRNOG00000053055	protein_coding	Otop3
ENSRNOT00000017081.7	ENSRNOG00000012543	protein_coding	Mcm3
ENSRNOT00000071934.2	ENSRNOG00000049260	protein_coding	AABR07013095.1
ENSRNOT00000004659.4	ENSRNOG00000003509	protein_coding	Olr1588
ENSRNOT00000024863.6	ENSRNOG00000018367	protein_coding	Taldo1
ENSRNOT00000088669.1	ENSRNOG00000059889	protein_coding	Onecut3
